ts	bel	res
18:21	35	65
17:46	50	50
19:47	48	52
18:37	60	40
18:52	47	53
16:56	50	50
17:06	50	50
20:28	36	64
18:47	53	47
19:22	61	39
17:51	50	50
19:32	54	46
17:01	50	50
17:31	50	50
16:45	50	50
18:11	50	50
17:16	50	50
17:36	50	50
20:13	36	64
20:43	36	64
19:27	65	35
20:18	36	64
17:21	50	50
19:17	47	53
20:03	36	64
19:42	48	52
18:27	48	52
17:11	50	50
19:57	36	64
20:23	36	64
19:12	47	53
17:56	50	50
17:26	50	50
17:41	50	50
18:16	50	50
16:50	50	50
19:07	47	53
20:33	36	64
16:40	50	50
20:08	36	64
16:35	50	50
19:52	36	64
18:57	47	53
18:42	48	52
18:06	50	50
18:01	50	50
20:38	36	64
19:02	47	53
18:32	52	48
19:37	55	45
